"map","begin","title","end"
"http://beeldbank.amsterdam.nl/afbeelding/010095000061","1661-01-01","Amstelodamum celebre emporium forma plana","1661-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010095000066","1625-01-01","Plattegrond van het zuidelijke deel van de Singelgracht met links onder de Munttoren","1625-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010095000077","1682-01-01","Manuscriptkaart met het ontwerp voor de Plantage, op onbekende schaal, vervaardigd door Jacob Bosch","1682-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010094000913","1737-01-01","Plan tres exact de la Fameuze Ville Marchande d'Amsterdam. Gravée  et mis au jour par Henry de Leth","1752-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010094000914","1623-01-01","Amstelredam anno 1623","1623-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010094000928","1795-01-01","Nieuwe platte grond der stad Amsteldam verdeeld in de V regimenten en LX Wijken der Schutterij, met aanwijzingen van de plaatsen der Brandspuiten in iedere Wijk.  [Plan Nouveau & très exact de la Ville D'Amsteldam : Nieuwe Platte Grond der Stad Amsteldam]","1795-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/SCHK00019000004","1703-01-01","No 1: de Tuijn aan den Amstel ende 12 Raamen buijten de Weesper Poort","1703-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/SCHK00019000005","1703-01-01","Het landt; No 14, 15, 16 en 17, tusschen de Weesper Poort, ende Oetewaalder Wegh","1722-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/SCHK00019000006","1703-01-01","No: 18 de Flep, en 19 aan Zeeburgh","1714-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/SCHK00019000007","1703-01-01","No: 1, 2, 3 en 4 buyten de Leydse Poort","1703-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/SCHK00019000008","1703-01-01","No: 5 buyten de Leydse Poort","1703-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/SCHK00019000009","1703-01-01","No: 6, 7 en 8, buijten de Leydse Poort","1703-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/SCHK00019000010","1703-01-01","No: 9 buyten de Leydse Poort","1703-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010031000002","1779-01-01","Burgerwachtbriefje met de oproep voor Johan Michels waarin hem 'De wacht wordt aangezegd' voor Wijk 56","1787-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000002","1894-01-01","Kaart van het noordelijk deel der Gemeente Nieuwer-Amstel","1896-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000033","1895-11-01","Ontwerp van een brug over het IJ","1895-11-30"
"http://beeldbank.amsterdam.nl/afbeelding/010033000051","1884-01-01","Het afgesloten IJ met de Dokken en Havens te Amsterdam in 1884","1884-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000064","1935-01-01","Le Centre d'Amsterdam","1938-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010033000080","1660-01-01","Werkkaart voor de aanleg en invulling van de vierde vergroting","1660-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010034000001_003","1628-01-01","Kaertbouk Vande Landen Toebehorende St. Pieters Gasthuijsen tot Amsterdam","1628-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010034000001_005","1628-01-01","TLant vande Gront van Sint Pieters Gasthuijsen tot Amsterdam","1628-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/010034000001_007","1628-01-01","Edifijci van de Gasthuysen","1628-12-31"
